公司代码 ,公司简称 ,代码,简称,上市日期,Symbol
600119,  ST长投,600119,  ST长投,  1998-01-15,600119.SS
600120,  浙江东方,600120,  浙江东方,  1997-12-01,600120.SS
600121,  郑州煤电,600121,  郑州煤电,  1998-01-07,600121.SS
600122,  *ST宏图,600122,  *ST宏图,  1998-04-20,600122.SS
600123,  兰花科创,600123,  兰花科创,  1998-12-17,600123.SS
600125,  铁龙物流,600125,  铁龙物流,  1998-05-11,600125.SS
600126,  杭钢股份,600126,  杭钢股份,  1998-03-11,600126.SS
600127,  金健米业,600127,  金健米业,  1998-05-06,600127.SS
600128,  弘业股份,600128,  弘业股份,  1997-09-01,600128.SS
600129,  太极集团,600129,  太极集团,  1997-11-18,600129.SS
600130,  波导股份,600130,  波导股份,  2000-07-06,600130.SS
600131,  国网信通,600131,  国网信通,  1998-04-02,600131.SS
600132,  重庆啤酒,600132,  重庆啤酒,  1997-10-30,600132.SS
600133,  东湖高新,600133,  东湖高新,  1998-02-12,600133.SS
600135,  乐凯胶片,600135,  乐凯胶片,  1998-01-22,600135.SS
600136,  当代文体,600136,  当代文体,  1998-03-03,600136.SS
600137,  浪莎股份,600137,  浪莎股份,  1998-04-16,600137.SS
600138,  中青旅,600138,  中青旅,  1997-12-03,600138.SS
600139,  西部资源,600139,  西部资源,  1998-02-25,600139.SS
600141,  兴发集团,600141,  兴发集团,  1999-06-16,600141.SS
600143,  金发科技,600143,  金发科技,  2004-06-23,600143.SS
600145,  *ST新亿,600145,  *ST新亿,  1999-09-23,600145.SS
600146,  *ST环球,600146,  *ST环球,  1999-07-07,600146.SS
600148,  长春一东,600148,  长春一东,  1998-05-20,600148.SS
600149,  ST坊展,600149,  ST坊展,  1999-10-14,600149.SS
600150,  中国船舶,600150,  中国船舶,  1998-05-20,600150.SS
600151,  航天机电,600151,  航天机电,  1998-06-05,600151.SS
600152,  维科技术,600152,  维科技术,  1998-06-09,600152.SS
600153,  建发股份,600153,  建发股份,  1998-06-16,600153.SS
600155,  华创阳安,600155,  华创阳安,  1998-09-18,600155.SS
600156,  华升股份,600156,  华升股份,  1998-05-27,600156.SS
600157,  ST永泰,600157,  ST永泰,  1998-05-13,600157.SS
600158,  中体产业,600158,  中体产业,  1998-03-27,600158.SS
600159,  大龙地产,600159,  大龙地产,  1998-05-26,600159.SS
600160,  巨化股份,600160,  巨化股份,  1998-06-26,600160.SS
600161,  天坛生物,600161,  天坛生物,  1998-06-16,600161.SS
600162,  香江控股,600162,  香江控股,  1998-06-09,600162.SS
600163,  中闽能源,600163,  中闽能源,  1998-06-02,600163.SS
600165,  新日恒力,600165,  新日恒力,  1998-05-29,600165.SS
600166,  福田汽车,600166,  福田汽车,  1998-06-02,600166.SS
600167,  联美控股,600167,  联美控股,  1999-01-28,600167.SS
600168,  武汉控股,600168,  武汉控股,  1998-04-27,600168.SS
600169,  太原重工,600169,  太原重工,  1998-09-04,600169.SS
