板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,Symbol
主板,渤海水业股份有限公司,"BOHAI WATER  INDUSTRY CO.,LTD",北京市顺义区中关村科技园顺义园临空二路1号,000605,渤海股份,1996-09-13,"352,658,600","337,193,683",,,,0,0,华北,北京,北京市,D 水电煤气,www.bohai-water.com,000605.SZ
主板,顺利办信息服务股份有限公司,"Shunliban Information Service Co.,Ltd",青海省西宁市城西区五四西路57号5号楼,000606,顺利办,1996-10-04,"765,799,353","687,665,274",,,,0,0,西北,青海,西宁市,I 信息技术,www.eqiao.com.cn,000606.SZ
主板,浙江华媒控股股份有限公司,"Zhejiang Huamei Holding CO., LTD.",浙江省杭州市下城区体育场路218号,000607,华媒控股,1996-08-30,"1,017,698,410","884,859,969",,,,0,0,华东,浙江,杭州市,R 文化传播,www.000607.cn,000607.SZ
主板,阳光新业地产股份有限公司,"YANGGUANG CO.,LTD.",广西壮族自治区南宁市江南路230号南宁经济技术开发区,000608,阳光股份,1996-09-19,"749,913,309","749,796,859",,,,0,0,华南,广西,南宁市,K 房地产,www.yangguangxinye.com,000608.SZ
主板,北京中迪投资股份有限公司,"Beijing Zodi Investment Co., Ltd.",北京市丰台区科学城海鹰路1号院6号楼5层,000609,中迪投资,1996-10-10,"299,265,522","292,002,672",,,,0,0,华北,北京,北京市,S 综合,www.mainstreets.cn,000609.SZ
主板,西安旅游股份有限公司,"Xi""an Tourism Co., Ltd.",陕西省西安市雁塔区雁翔路3001号华商传媒中心2号楼13f,000610,西安旅游,1996-09-26,"236,747,901","235,394,869",,,,0,0,西北,陕西,西安市,N 公共环保,www.xatourism.com,000610.SZ
主板,内蒙古天首科技发展股份有限公司,"Inner Mongolia TianShou Technology&development, CO.，LTD.",内蒙古自治区包头市青山区钢铁大街7号正翔国际广场B6号楼,000611,ST天首,1996-10-08,"337,822,022","319,347,925",,,,0,0,华北,内蒙古,包头市,C 制造业,,000611.SZ
主板,焦作万方铝业股份有限公司,"JiaoZuo WanFang Aluminum Manufacturing Co., Ltd",河南省焦作市马村区待王镇焦新路南侧,000612,焦作万方,1996-09-26,"1,192,199,394","1,190,682,144",,,,0,0,华中,河南,焦作市,C 制造业,www.jzwfly.cn,000612.SZ
主板,海南大东海旅游中心股份有限公司,"HAINAN DADONGHAI TOURISM CENTRE (HOLDINGS) CO.,LTD.",海南省三亚市大东海,000613,大东海A,1997-01-28,"276,100,000","266,879,800",200613,大东海B,1996-10-08,"88,000,000","88,000,000",华南,海南,三亚市,H 住宿餐饮,,000613.SZ
主板,奥园美谷科技股份有限公司,"Aoyuan Beauty Valley Technology Co.,Ltd.",湖北省襄阳市樊城区陈家湖,000615,奥园美谷,1996-10-16,"781,180,319","771,818,683",,,,0,0,华中,湖北,襄阳市,K 房地产,www.000615.com.cn,000615.SZ
主板,海航投资集团股份有限公司,"HNA INVESTMENT GROUP CO.,LTD.",辽宁省大连市中山区长江路123号长江写字楼2129,000616,海航投资,1996-11-08,"1,430,234,425","1,430,234,425",,,,0,0,东北,辽宁,大连市,K 房地产,www.hnainvestment.com,000616.SZ
主板,中国石油集团资本股份有限公司,CNPC Capital Company Limited,新疆维吾尔自治区克拉玛依市世纪大道7号,000617,中油资本,1996-10-22,"12,642,079,079","12,642,079,079",,,,0,0,西北,新疆,克拉玛依市,J 金融业,www.jichai.com,000617.SZ
主板,芜湖海螺型材科技股份有限公司,"WUHU CONCH PROFILES AND SCIENCE CO., LTD",安徽省芜湖市经济开发区港湾路,000619,海螺型材,1996-10-23,"360,000,000","360,000,000",,,,0,0,华东,安徽,芜湖市,C 制造业,profile.conch.cn,000619.SZ
主板,新华联文化旅游发展股份有限公司,"MACROLINK CULTURALTAINMENT DEVELOPMENT CO., LTD.",北京市通州区外郎营村北2号院2号楼8层101,000620,新华联,1996-10-29,"1,896,690,420","1,896,624,195",,,,0,0,华北,北京,北京市,K 房地产,www.xhlwl.com.cn,000620.SZ
主板,恒立实业发展集团股份有限公司,"HENGLI INDUSTRIAL DEVELOPMENT GROUP CO.,LTD",湖南省岳阳市岳阳楼区冷水铺办事处冷水铺居委会10幢301,000622,恒立实业,1996-11-07,"425,226,000","425,226,000",,,,0,0,华中,湖南,岳阳市,C 制造业,www.hlsyfzjt.com,000622.SZ
主板,吉林敖东药业集团股份有限公司,"Jilin Aodong Pharmaceutical Group Co., Ltd.",吉林省敦化市敖东大街2158号,000623,吉林敖东,1996-10-28,"1,163,041,677","1,160,112,000",,,,0,0,东北,吉林,延边朝鲜族自治州,C 制造业,www.jlaod.com,000623.SZ
